Frog,Angle (y),Speed (x)
0,16.16111754,0.035680046
1,17.58295003,0.089956682
1,13.53094008,0.064911909
1,14.71437761,0.091872489
2,20.93548401,0.134903263
2,16.55356222,0.103031062
2,15.67856769,0.124539749
3,14.27114507,0.106998595
3,11.30321965,0.128590067
4,13.28460353,0.097754296
4,8.633448861,0.176360714
4,11.38369925,0.140899444
4,11.89612255,0.116354106
4,12.75320036,0.106489441
5,5.775355056,0.192205513
5,5.039155255,0.22985303
5,4.304509022,0.224622419
6,14.32818792,0.162817615
6,16.17925019,0.093708643
7,7.188516293,0.227220345
7,18.13479762,0.160827303
7,13.93180327,0.198859105
7,8.654964628,0.142283608
