Frog,PAngle,ANKgain
0,16.16111754,3.796767671
1,17.58295003,3.168611349
1,13.53094008,3.25707739
1,14.71437761,3.3508229
2,20.93548401,2.739642413
2,16.55356222,2.73964241
2,15.67856769,3.77101075
3,14.27114507,5.619978909
3,11.30321965,3.841523144
4,13.28460353,2.97911853
4,8.633448861,1.68450435
4,11.38369925,1.59842616
4,11.89612255,2.50739519
4,12.75320036,4.175641087
5,5.775355056,0.90187697
5,5.039155255,1.056225527
5,4.304509022,0.62093442
6,14.32818792,2.09664329
6,16.17925019,2.52939268
7,7.188516293,1.22670385
7,18.13479762,2.458688797
7,13.93180327,2.647067322
7,8.654964628,1.462337994
