Frog,PAngle,TMTgain
0,16.16111754,4.535732608
1,17.58295003,4.565225713
1,13.53094008,4.262473837
1,14.71437761,4.699505291
2,20.93548401,7.283520441
2,16.55356222,3.87677633
2,15.67856769,5.6833606
3,14.27114507,6.911736296
3,11.30321965,5.089960325
4,13.28460353,3.85782123
4,8.633448861,2.05186821
4,11.38369925,2.10997299
4,11.89612255,3.12902913
4,12.75320036,5.48394087
5,5.775355056,1.27849904
5,5.039155255,1.343506531
5,4.304509022,0.88869706
6,14.32818792,2.63270716
6,16.17925019,3.34176025
7,7.188516293,2.003746553
7,18.13479762,4.468816368
7,13.93180327,4.006822382
7,8.654964628,2.050677664
