Frog,SL,Speed
0,0.070480876,0.035680046
1,0.069635246,0.089956682
1,0.079708519,0.064911909
1,0.069774858,0.091872489
2,0.083645728,0.134903263
2,0.073177533,0.103031062
2,0.089380768,0.124539749
3,0.080657709,0.106998595
3,0.082363972,0.128590067
4,0.070061355,0.097754296
4,0.076181337,0.176360714
4,0.069018526,0.140899444
4,0.06547819,0.116354106
4,0.0660275,0.106489441
5,0.071780748,0.192205513
5,0.0771358,0.22985303
5,0.073980046,0.224622419
6,0.069791187,0.162817615
6,0.080197879,0.093708643
7,0.080942595,0.227220345
7,0.073832065,0.160827303
7,0.071381893,0.198859105
7,0.059918607,0.142283608
