Frog,Speed (x),Angle (y)
0,0.519410827,16.16111754
1,1.320907842,17.58295003
1,0.815713813,13.53094008
1,1.13332937,14.71437761
2,1.318527618,20.93548401
2,1.390704028,16.55356222
2,1.717047386,15.67856769
3,1.620111271,14.27114507
3,2.17293401,11.30321965
4,1.902845338,13.28460353
4,2.598088042,8.633448861
4,1.606392152,11.38369925
4,2.154179084,11.89612255
4,1.885453963,12.75320036
5,4.265546217,5.775355056
5,3.528221905,5.039155255
5,4.984962695,4.304509022
6,2.389296108,14.32818792
6,1.537474857,16.17925019
7,4.442504096,7.188516293
7,3.068534391,18.13479762
7,3.800050708,13.93180327
7,1.262466602,8.654964304
